leto,drzava,starostna skupina,spol,pogostost,odstotek
2017,Bolgarija,16-24,skupaj,3-5,7
2017,Bolgarija,16-24,skupaj,6 ali več,1
2018,Bolgarija,16-24,skupaj,1-2,16
2018,Bolgarija,16-24,skupaj,3-5,6
2018,Bolgarija,16-24,skupaj,6 ali več,1
2019,Bolgarija,16-24,skupaj,1-2,18
2019,Bolgarija,16-24,skupaj,3-5,6
2019,Bolgarija,16-24,skupaj,6 ali več,0
2016,Bolgarija,25-54,skupaj,1-2,9
2016,Bolgarija,25-54,skupaj,3-5,3
2016,Bolgarija,25-54,skupaj,6 ali več,1
2017,Bolgarija,25-54,skupaj,1-2,9
2017,Bolgarija,25-54,skupaj,3-5,4
2017,Bolgarija,25-54,skupaj,6 ali več,1
2018,Bolgarija,25-54,skupaj,1-2,11
2018,Bolgarija,25-54,skupaj,3-5,5
2018,Bolgarija,25-54,skupaj,6 ali več,1
2019,Bolgarija,25-54,skupaj,1-2,12
2019,Bolgarija,25-54,skupaj,3-5,6
2019,Bolgarija,25-54,skupaj,6 ali več,1
2016,Bolgarija,55-74,skupaj,1-2,1
2016,Bolgarija,55-74,skupaj,3-5,0
2016,Bolgarija,55-74,skupaj,6 ali več,0
2017,Bolgarija,55-74,skupaj,1-2,1
2017,Bolgarija,55-74,skupaj,3-5,1
2017,Bolgarija,55-74,skupaj,6 ali več,0
2018,Bolgarija,55-74,skupaj,1-2,2
2018,Bolgarija,55-74,skupaj,3-5,1
2018,Bolgarija,55-74,skupaj,6 ali več,0
2019,Bolgarija,55-74,skupaj,1-2,2
2019,Bolgarija,55-74,skupaj,3-5,1
2019,Bolgarija,55-74,skupaj,6 ali več,0
2016,Bolgarija,16-24,moški,1-2,13
2016,Bolgarija,16-24,moški,3-5,5
2016,Bolgarija,16-24,moški,6 ali več,3
2017,Bolgarija,16-24,moški,1-2,13
2017,Bolgarija,16-24,moški,3-5,6
2017,Bolgarija,16-24,moški,6 ali več,1
2018,Bolgarija,16-24,moški,1-2,16
2018,Bolgarija,16-24,moški,3-5,6
2018,Bolgarija,16-24,moški,6 ali več,1
2019,Bolgarija,16-24,moški,1-2,17
2019,Bolgarija,16-24,moški,3-5,6
2019,Bolgarija,16-24,moški,6 ali več,0
2016,Bolgarija,16-24,ženske,1-2,15
2016,Bolgarija,16-24,ženske,3-5,5
2016,Bolgarija,16-24,ženske,6 ali več,1
2017,Bolgarija,16-24,ženske,1-2,16
2017,Bolgarija,16-24,ženske,3-5,7
2017,Bolgarija,16-24,ženske,6 ali več,1
2018,Bolgarija,16-24,ženske,1-2,16
2018,Bolgarija,16-24,ženske,3-5,6
2018,Bolgarija,16-24,ženske,6 ali več,2
2019,Bolgarija,16-24,ženske,1-2,20
2019,Bolgarija,16-24,ženske,3-5,7
2019,Bolgarija,16-24,ženske,6 ali več,1
2016,Bolgarija,25-54,moški,1-2,8
2016,Bolgarija,25-54,moški,3-5,3
2016,Bolgarija,25-54,moški,6 ali več,1
2017,Bolgarija,25-54,moški,1-2,8
2017,Bolgarija,25-54,moški,3-5,4
2017,Bolgarija,25-54,moški,6 ali več,1
2018,Bolgarija,25-54,moški,1-2,9
2018,Bolgarija,25-54,moški,3-5,4
2018,Bolgarija,25-54,moški,6 ali več,1
2019,Bolgarija,25-54,moški,1-2,10
2019,Bolgarija,25-54,moški,3-5,5
2019,Bolgarija,25-54,moški,6 ali več,1
2016,Bolgarija,25-54,ženske,1-2,11
2016,Bolgarija,25-54,ženske,3-5,3
2016,Bolgarija,25-54,ženske,6 ali več,1
2017,Bolgarija,25-54,ženske,1-2,11
2017,Bolgarija,25-54,ženske,3-5,4
2017,Bolgarija,25-54,ženske,6 ali več,1
2018,Bolgarija,25-54,ženske,1-2,12
2018,Bolgarija,25-54,ženske,3-5,6
2018,Bolgarija,25-54,ženske,6 ali več,1
2019,Bolgarija,25-54,ženske,1-2,13
2019,Bolgarija,25-54,ženske,3-5,6
2019,Bolgarija,25-54,ženske,6 ali več,1
2016,Bolgarija,55-74,moški,1-2,1
2016,Bolgarija,55-74,moški,3-5,1
2016,Bolgarija,55-74,moški,6 ali več,0
2017,Bolgarija,55-74,moški,1-2,1
2017,Bolgarija,55-74,moški,3-5,0
2017,Bolgarija,55-74,moški,6 ali več,0
2018,Bolgarija,55-74,moški,1-2,2
2018,Bolgarija,55-74,moški,3-5,1
2018,Bolgarija,55-74,moški,6 ali več,0
2019,Bolgarija,55-74,moški,1-2,2
2019,Bolgarija,55-74,moški,3-5,1
2019,Bolgarija,55-74,moški,6 ali več,0
2016,Bolgarija,55-74,ženske,1-2,2
2016,Bolgarija,55-74,ženske,3-5,0
2016,Bolgarija,55-74,ženske,6 ali več,0
2017,Bolgarija,55-74,ženske,1-2,1
2017,Bolgarija,55-74,ženske,3-5,1
2017,Bolgarija,55-74,ženske,6 ali več,0
2018,Bolgarija,55-74,ženske,1-2,3
2018,Bolgarija,55-74,ženske,3-5,1
2018,Bolgarija,55-74,ženske,6 ali več,0
2019,Bolgarija,55-74,ženske,1-2,2
2019,Bolgarija,55-74,ženske,3-5,1
2019,Bolgarija,55-74,ženske,6 ali več,0
2016,Češka,skupaj,skupaj,1-2,15
2016,Češka,skupaj,skupaj,3-5,10
2016,Češka,skupaj,skupaj,6 ali več,4
2017,Češka,skupaj,skupaj,1-2,16
2017,Češka,skupaj,skupaj,3-5,12
2017,Češka,skupaj,skupaj,6 ali več,5
2018,Češka,skupaj,skupaj,1-2,17
2018,Češka,skupaj,skupaj,3-5,14
2018,Češka,skupaj,skupaj,6 ali več,6
2019,Češka,skupaj,skupaj,1-2,16
2019,Češka,skupaj,skupaj,3-5,19
2019,Češka,skupaj,skupaj,6 ali več,7
2016,Češka,16-24,skupaj,1-2,21
2016,Češka,16-24,skupaj,3-5,13
2016,Češka,16-24,skupaj,6 ali več,5
2017,Češka,16-24,skupaj,1-2,20
2017,Češka,16-24,skupaj,3-5,17
2017,Češka,16-24,skupaj,6 ali več,5
2018,Češka,16-24,skupaj,1-2,25
2018,Češka,16-24,skupaj,3-5,20
2018,Češka,16-24,skupaj,6 ali več,5
2019,Češka,16-24,skupaj,1-2,26
2019,Češka,16-24,skupaj,3-5,27
2019,Češka,16-24,skupaj,6 ali več,7
2016,Češka,25-54,skupaj,1-2,18
2016,Češka,25-54,skupaj,3-5,13
2016,Češka,25-54,skupaj,6 ali več,5
2017,Češka,25-54,skupaj,1-2,20
2017,Češka,25-54,skupaj,3-5,16
