leto,drzava,starostna skupina,spol,prodajalec,odstotek
2013,Belgija,skupaj,skupaj,domači,80
2013,Belgija,skupaj,skupaj,iz EU,58
2013,Belgija,skupaj,skupaj,iz drugih držav,11
2014,Belgija,skupaj,skupaj,domači,81
2014,Belgija,skupaj,skupaj,iz EU,62
2014,Belgija,skupaj,skupaj,iz drugih držav,15
2015,Belgija,skupaj,skupaj,domači,76
2015,Belgija,skupaj,skupaj,iz EU,63
2015,Belgija,skupaj,skupaj,iz drugih držav,15
2016,Belgija,skupaj,skupaj,domači,80
2016,Belgija,skupaj,skupaj,iz EU,66
2016,Belgija,skupaj,skupaj,iz drugih držav,18
2017,Belgija,skupaj,skupaj,domači,80
2017,Belgija,skupaj,skupaj,iz EU,63
2017,Belgija,skupaj,skupaj,iz drugih držav,21
2018,Belgija,skupaj,skupaj,domači,77
2018,Belgija,skupaj,skupaj,iz EU,64
2018,Belgija,skupaj,skupaj,iz drugih držav,19
2019,Belgija,skupaj,skupaj,domači,77
2019,Belgija,skupaj,skupaj,iz EU,65
2019,Belgija,skupaj,skupaj,iz drugih držav,19
2010,Belgija,16-24,skupaj,domači,78
2010,Belgija,16-24,skupaj,iz EU,47
2010,Belgija,16-24,skupaj,iz drugih držav,10
2011,Belgija,16-24,skupaj,domači,73
2011,Belgija,16-24,skupaj,iz EU,48
2011,Belgija,16-24,skupaj,iz drugih držav,9
2012,Belgija,16-24,skupaj,domači,72
2012,Belgija,16-24,skupaj,iz EU,49
2012,Belgija,16-24,skupaj,iz drugih držav,14
2013,Belgija,16-24,skupaj,domači,76
2013,Belgija,16-24,skupaj,iz EU,56
2013,Belgija,16-24,skupaj,iz drugih držav,13
2014,Belgija,16-24,skupaj,domači,77
2014,Belgija,16-24,skupaj,iz EU,59
2014,Belgija,16-24,skupaj,iz drugih držav,22
2015,Belgija,16-24,skupaj,domači,67
2015,Belgija,16-24,skupaj,iz EU,59
2015,Belgija,16-24,skupaj,iz drugih držav,18
2016,Belgija,16-24,skupaj,domači,76
2016,Belgija,16-24,skupaj,iz EU,64
2016,Belgija,16-24,skupaj,iz drugih držav,23
2017,Belgija,16-24,skupaj,domači,74
2017,Belgija,16-24,skupaj,iz EU,55
2017,Belgija,16-24,skupaj,iz drugih držav,31
2018,Belgija,16-24,skupaj,domači,71
2018,Belgija,16-24,skupaj,iz EU,62
2018,Belgija,16-24,skupaj,iz drugih držav,27
2019,Belgija,16-24,skupaj,domači,73
2019,Belgija,16-24,skupaj,iz EU,61
2019,Belgija,16-24,skupaj,iz drugih držav,26
2010,Belgija,25-54,skupaj,domači,82
2010,Belgija,25-54,skupaj,iz EU,51
2010,Belgija,25-54,skupaj,iz drugih držav,12
2011,Belgija,25-54,skupaj,domači,79
2011,Belgija,25-54,skupaj,iz EU,56
2011,Belgija,25-54,skupaj,iz drugih držav,12
2012,Belgija,25-54,skupaj,domači,79
2012,Belgija,25-54,skupaj,iz EU,58
2012,Belgija,25-54,skupaj,iz drugih držav,14
2013,Belgija,25-54,skupaj,domači,82
2013,Belgija,25-54,skupaj,iz EU,58
2013,Belgija,25-54,skupaj,iz drugih držav,12
2014,Belgija,25-54,skupaj,domači,81
2014,Belgija,25-54,skupaj,iz EU,64
2014,Belgija,25-54,skupaj,iz drugih držav,15
2015,Belgija,25-54,skupaj,domači,79
2015,Belgija,25-54,skupaj,iz EU,64
2015,Belgija,25-54,skupaj,iz drugih držav,15
2016,Belgija,25-54,skupaj,domači,81
2016,Belgija,25-54,skupaj,iz EU,68
2016,Belgija,25-54,skupaj,iz drugih držav,19
2017,Belgija,25-54,skupaj,domači,81
2017,Belgija,25-54,skupaj,iz EU,64
2017,Belgija,25-54,skupaj,iz drugih držav,21
2018,Belgija,25-54,skupaj,domači,78
2018,Belgija,25-54,skupaj,iz EU,66
2018,Belgija,25-54,skupaj,iz drugih držav,20
2019,Belgija,25-54,skupaj,domači,78
2019,Belgija,25-54,skupaj,iz EU,69
2019,Belgija,25-54,skupaj,iz drugih držav,20
2010,Belgija,55-74,skupaj,domači,79
2010,Belgija,55-74,skupaj,iz EU,55
2010,Belgija,55-74,skupaj,iz drugih držav,11
2011,Belgija,55-74,skupaj,domači,74
2011,Belgija,55-74,skupaj,iz EU,57
2011,Belgija,55-74,skupaj,iz drugih držav,8
2012,Belgija,55-74,skupaj,domači,76
2012,Belgija,55-74,skupaj,iz EU,54
2012,Belgija,55-74,skupaj,iz drugih držav,10
2013,Belgija,55-74,skupaj,domači,78
2013,Belgija,55-74,skupaj,iz EU,59
2013,Belgija,55-74,skupaj,iz drugih držav,8
2014,Belgija,55-74,skupaj,domači,82
2014,Belgija,55-74,skupaj,iz EU,59
2014,Belgija,55-74,skupaj,iz drugih držav,8
2015,Belgija,55-74,skupaj,domači,75
2015,Belgija,55-74,skupaj,iz EU,61
2015,Belgija,55-74,skupaj,iz drugih držav,11
2016,Belgija,55-74,skupaj,domači,78
2016,Belgija,55-74,skupaj,iz EU,62
2016,Belgija,55-74,skupaj,iz drugih držav,10
2017,Belgija,55-74,skupaj,domači,80
2017,Belgija,55-74,skupaj,iz EU,65
2017,Belgija,55-74,skupaj,iz drugih držav,12
2018,Belgija,55-74,skupaj,domači,79
2018,Belgija,55-74,skupaj,iz EU,59
2018,Belgija,55-74,skupaj,iz drugih držav,11
2019,Belgija,55-74,skupaj,domači,74
2019,Belgija,55-74,skupaj,iz EU,59
2019,Belgija,55-74,skupaj,iz drugih držav,10
2010,Belgija,16-24,moški,domači,77
2010,Belgija,16-24,moški,iz EU,47
2010,Belgija,16-24,moški,iz drugih držav,15
2011,Belgija,16-24,moški,domači,66
2011,Belgija,16-24,moški,iz EU,52
2011,Belgija,16-24,moški,iz drugih držav,12
2012,Belgija,16-24,moški,domači,78
2012,Belgija,16-24,moški,iz EU,47
2012,Belgija,16-24,moški,iz drugih držav,14
2013,Belgija,16-24,moški,domači,76
2013,Belgija,16-24,moški,iz EU,57
2013,Belgija,16-24,moški,iz drugih držav,14
2014,Belgija,16-24,moški,domači,84
2014,Belgija,16-24,moški,iz EU,57
2014,Belgija,16-24,moški,iz drugih držav,25
2015,Belgija,16-24,moški,domači,64
2015,Belgija,16-24,moški,iz EU,62
2015,Belgija,16-24,moški,iz drugih držav,22
2016,Belgija,16-24,moški,domači,75
2016,Belgija,16-24,moški,iz EU,70
2016,Belgija,16-24,moški,iz drugih držav,23
2017,Belgija,16-24,moški,domači,78
2017,Belgija,16-24,moški,iz EU,48
2017,Belgija,16-24,moški,iz drugih držav,29
2018,Belgija,16-24,moški,domači,70
2018,Belgija,16-24,moški,iz EU,60
2018,Belgija,16-24,moški,iz drugih držav,23
2019,Belgija,16-24,moški,domači,71
2019,Belgija,16-24,moški,iz EU,56
2019,Belgija,16-24,moški,iz drugih držav,27
2010,Belgija,16-24,ženske,domači,80
2010,Belgija,16-24,ženske,iz EU,46
2010,Belgija,16-24,ženske,iz drugih držav,3
