leto,drzava,starostna skupina,spol,zadnji e-nakup,odstotek
2010,Belgija,55-74,moški,med 3. in 7. meseci,9
2010,Belgija,55-74,ženske,med 3. in 7. meseci,5
2010,Bolgarija,skupaj,skupaj,med 3. in 7. meseci,2
2010,Bolgarija,16-24,skupaj,med 3. in 7. meseci,4
2010,Bolgarija,25-54,skupaj,med 3. in 7. meseci,2
2010,Bolgarija,55-74,skupaj,med 3. in 7. meseci,NA
2010,Bolgarija,16-24,moški,med 3. in 7. meseci,4
2010,Bolgarija,16-24,ženske,med 3. in 7. meseci,4
2010,Bolgarija,25-54,moški,med 3. in 7. meseci,2
2010,Bolgarija,25-54,ženske,med 3. in 7. meseci,2
2010,Bolgarija,55-74,moški,med 3. in 7. meseci,NA
2010,Bolgarija,55-74,ženske,med 3. in 7. meseci,NA
2010,Češka,skupaj,skupaj,med 3. in 7. meseci,13
2010,Češka,16-24,skupaj,med 3. in 7. meseci,17
2010,Češka,25-54,skupaj,med 3. in 7. meseci,16
2010,Češka,55-74,skupaj,med 3. in 7. meseci,4
2010,Češka,16-24,moški,med 3. in 7. meseci,19
2010,Češka,16-24,ženske,med 3. in 7. meseci,16
2010,Češka,25-54,moški,med 3. in 7. meseci,17
2010,Češka,25-54,ženske,med 3. in 7. meseci,15
2010,Češka,55-74,moški,med 3. in 7. meseci,4
2010,Češka,55-74,ženske,med 3. in 7. meseci,3
2010,Danska,skupaj,skupaj,med 3. in 7. meseci,14
2010,Danska,16-24,skupaj,med 3. in 7. meseci,18
2010,Danska,25-54,skupaj,med 3. in 7. meseci,14
2010,Danska,55-74,skupaj,med 3. in 7. meseci,10
2010,Danska,16-24,moški,med 3. in 7. meseci,18
2010,Danska,16-24,ženske,med 3. in 7. meseci,19
2010,Danska,25-54,moški,med 3. in 7. meseci,14
2010,Danska,25-54,ženske,med 3. in 7. meseci,14
2010,Danska,55-74,moški,med 3. in 7. meseci,9
2010,Danska,55-74,ženske,med 3. in 7. meseci,11
2010,Nemčija,skupaj,skupaj,med 3. in 7. meseci,11
2010,Nemčija,16-24,skupaj,med 3. in 7. meseci,14
2010,Nemčija,25-54,skupaj,med 3. in 7. meseci,12
2010,Nemčija,55-74,skupaj,med 3. in 7. meseci,8
2010,Nemčija,16-24,moški,med 3. in 7. meseci,15
2010,Nemčija,16-24,ženske,med 3. in 7. meseci,14
2010,Nemčija,25-54,moški,med 3. in 7. meseci,12
2010,Nemčija,25-54,ženske,med 3. in 7. meseci,13
2010,Nemčija,55-74,moški,med 3. in 7. meseci,9
2010,Nemčija,55-74,ženske,med 3. in 7. meseci,7
2010,Estonija,skupaj,skupaj,med 3. in 7. meseci,4
2010,Estonija,16-24,skupaj,med 3. in 7. meseci,5
2010,Estonija,25-54,skupaj,med 3. in 7. meseci,5
2010,Estonija,55-74,skupaj,med 3. in 7. meseci,1
2010,Estonija,16-24,moški,med 3. in 7. meseci,5
2010,Estonija,16-24,ženske,med 3. in 7. meseci,6
2010,Estonija,25-54,moški,med 3. in 7. meseci,4
2010,Estonija,25-54,ženske,med 3. in 7. meseci,6
2010,Estonija,55-74,moški,med 3. in 7. meseci,1
2010,Estonija,55-74,ženske,med 3. in 7. meseci,2
2010,Irska,skupaj,skupaj,med 3. in 7. meseci,9
2010,Irska,16-24,skupaj,med 3. in 7. meseci,11
2010,Irska,25-54,skupaj,med 3. in 7. meseci,10
2010,Irska,55-74,skupaj,med 3. in 7. meseci,3
2010,Irska,16-24,moški,med 3. in 7. meseci,10
2010,Irska,16-24,ženske,med 3. in 7. meseci,12
2010,Irska,25-54,moški,med 3. in 7. meseci,10
2010,Irska,25-54,ženske,med 3. in 7. meseci,9
2010,Irska,55-74,moški,med 3. in 7. meseci,3
2010,Irska,55-74,ženske,med 3. in 7. meseci,4
2010,Grčija,skupaj,skupaj,med 3. in 7. meseci,4
2010,Grčija,16-24,skupaj,med 3. in 7. meseci,5
2010,Grčija,25-54,skupaj,med 3. in 7. meseci,5
2010,Grčija,55-74,skupaj,med 3. in 7. meseci,1
2010,Grčija,16-24,moški,med 3. in 7. meseci,6
2010,Grčija,16-24,ženske,med 3. in 7. meseci,5
2010,Grčija,25-54,moški,med 3. in 7. meseci,5
2010,Grčija,25-54,ženske,med 3. in 7. meseci,4
2010,Grčija,55-74,moški,med 3. in 7. meseci,1
2010,Grčija,55-74,ženske,med 3. in 7. meseci,1
2010,Španija,skupaj,skupaj,med 3. in 7. meseci,7
2010,Španija,16-24,skupaj,med 3. in 7. meseci,10
2010,Španija,25-54,skupaj,med 3. in 7. meseci,8
2010,Španija,55-74,skupaj,med 3. in 7. meseci,2
2010,Španija,16-24,moški,med 3. in 7. meseci,10
2010,Španija,16-24,ženske,med 3. in 7. meseci,8
2010,Španija,25-54,moški,med 3. in 7. meseci,9
2010,Španija,25-54,ženske,med 3. in 7. meseci,7
2010,Španija,55-74,moški,med 3. in 7. meseci,4
2010,Španija,55-74,ženske,med 3. in 7. meseci,1
2010,Francija,skupaj,skupaj,med 3. in 7. meseci,14
2010,Francija,16-24,skupaj,med 3. in 7. meseci,20
2010,Francija,25-54,skupaj,med 3. in 7. meseci,15
